feature,mean_abs_shap
dayofyear_cos,11.177329784878497
boundary_layer_height,9.146556641011944
latitude,4.813981333232384
relative_humidity_2m,4.626662527703147
province_Hebei,4.576297788070589
wind_speed_10m_lag_3h,4.226499942522601
dayofyear,3.3013355629866905
low_pblh_flag,2.623981600715648
dew_point_2m,2.1792725843048197
t_inverse_850_1000,2.040364474251283
dayofyear_sin,1.986769818482177
hour,1.8683056349752922
hour_cos,1.4744329946474026
pressure_msl,1.4534815614417524
wind_v_10m_lag_24h,1.341848062035291
temperature_850hPa,1.2789286556615962
year,1.0328003669372976
wind_speed_10m_lag_24h,0.9502446544711238
month_cos,0.9250517750477988
city_Beijing,0.808516111060946
cloud_cover,0.7877751413460434
wind_v_10m_lag_3h,0.7865912267115693
surface_pressure,0.7048366638231581
month_sin,0.5544268489160028
wind_speed_10m_lag_1h,0.5231716791393384
hour_sin,0.466984936432935
wind_u_10m_lag_3h,0.44924493054338155
longitude,0.39683173667161525
city_Baoding,0.3778576458220901
wind_gusts_10m,0.3574870026308047
temperature_1000hPa,0.333994097604131
month,0.3245804707272873
city_Langfang,0.2758353950444785
wind_direction_10m,0.26399603841680763
wind_u_10m_lag_24h,0.22193107428222278
city_Shijiazhuang,0.20726314742846963
apparent_temperature,0.17202722786338823
wind_v_10m_lag_1h,0.1496646745893944
province_Beijing,0.14863884782462913
northerly_cleaning_10m,0.13887856056329329
weather_code,0.11689628029380064
wind_v_10m,0.11566084410794099
weekday,0.11269288625117792
city_Hengshui,0.11112605501129508
city_Cangzhou,0.09831675414245329
city_Handan,0.09525497226415836
wind_speed_10m,0.08952505391719319
city_Zhangjiakou,0.07474103467059412
southerly_transport_10m,0.07339022361952167
temperature_2m,0.05975413455196814
city_Xingtai,0.048942274104352444
wind_u_10m_lag_1h,0.04804860808746568
city_Tianjin,0.03289251453252504
wind_u_10m,0.031709264126001474
city_Chengde,0.020768760937362005
rain,0.018686330302479803
precipitation,0.014647198720340095
city_Qinhuangdao,0.008625731462029882
is_weekend,0.008157727012290433
province_Tianjin,0.0063867304698538565
snowfall,0.002020868943825362
has_inversion_850_1000,0.0008626767175751365
city_Tangshan,0.0001321790898217556
